"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"1493","Durango",1009487,"MEX",9257.95844266494,69.8688848030457,563288.125,64272.671875,16321.8515625,2712.48388671875,46.3095213233893
"1593","Le0n",1009541,"MEX",1220.15191827266,23.7641148845102,1089883.625,33549.796875,21096.87109375,1247.79223632812,42.7430161502578
"1641","Acapulco de Jutrez",1009568,"MEX",1722.86532410518,22.8771078478196,634325.25,20361.345703125,20763.56640625,821.218872070312,46.3095213233893
"1661","Coyuca de Ben",1009588,"MEX",1809.84855952958,1.47531186089778,74245.3359375,1314.333984375,2576.63232421875,53.0100402832031,46.3095213233893
"1726","Lvea Aem",12348,"KHM",258.637327437733,0.901770620300909,116274.4921875,13538.0869140625,3725.19921875,523.597290039062,2.97145919044604
"1745","Ticuantepe",22493,"NIC",54.9096402485454,13.661982134403,45175.03125,15504.2392578125,1485.50207519531,579.242431640625,2.82687212097348
"1895","Munger",17614,"IND",1369.67718731472,91.7719974157177,1338697.875,220378.375,44061.375,8870.9599609375,8.30164573231466
"1961","Boane",21882,"MOZ",804.869133853561,28.9356982611577,639933,166549.40625,13090.591796875,6202.46728515625,1.10726353383239
"1976","EL Arenal",1009741,"MEX",103.974845827285,9.16528102099685,31079.408203125,8432.7646484375,1107.41455078125,341.312042236328,46.4711101300359
"2006","Guadalajara",1009771,"MEX",151.392282184234,144.538282979601,820395.5,817679.4375,31787.185546875,31684.96484375,39.2111398700953
"2012","Ixtlahuactn del Roo",1009777,"MEX",831.008339119641,0.876823243091514,30053.8125,1682.13598632812,601.829406738281,65.5708770751953,44.774421313309
"2034","Kandy",41748,"LKA",1922.55039271727,100.930520922772,1284186,185916.53125,34179.9140625,7468.25048828125,10.7178292461048
"2035","Bulacan",24221,"PHL",2754.25060420349,19.3181757579814,3439178.25,344078.8125,129099.4375,14323.1201171875,13.6852132968615
"2047","El Salto",1009802,"MEX",87.8427565468903,74.7727785272887,196946.3125,185549.359375,7194.7021484375,6801.314453125,36.1178623838723
"2074","Tlajomulco de Ztoiga",1009829,"MEX",713.817383881287,144.102345550828,835414.4375,541979.4375,27966.013671875,20285.140625,37.0296846334286
"2075","Tlaquepaque",1009830,"MEX",110.420874232687,110.420874232687,728834.5625,728834.5625,27908.34765625,27908.34765625,37.0296846334286
"2078","Tonal",1009833,"MEX",166.07272778823,65.9731331469548,202400.1875,147164.484375,7130.8125,5114.4990234375,36.1178623838723
"2101","Zapopan",1009852,"MEX",1163.40840024124,425.956950631552,1258789.375,788842.9375,43363.60546875,30984.19921875,39.3496427480958
"2105","Zapotlanejo",1009856,"MEX",719.321743596095,1.36907161056488,53920.7421875,2622.0341796875,1211.03283691406,102.208786010742,44.774421313309
