"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"15713","Calarca",14179,"COL",207.622712140698,10.3511571798786,109451.8828125,17485.08984375,2080.92114257812,638.755981445312,11.5021609475706
"15714","San Juan Y Martinez",14773,"CUB",901.864330132056,22.3765048500181,84620.1875,15563.5556640625,2679.89233398438,656.077880859375,11.9391984789647
"15749","Cidade de Tete",65264,"MOZ",287.289904668006,48.5938645439548,168721.390625,108761.796875,5372.42626953125,3869.35986328125,1.02852698350011
"15772","South 24 Parganas",70294,"IND",5527.10790037195,1677.07882154936,13226986,9991753,453558,371880.625,6.09117190011271
"15787","Chum Phae",26587,"THA",667.814346655918,38.5466223111666,125171.609375,10469.927734375,3061.1728515625,455.617980957031,30.3413233767125
"15837","Mentiri",61111,"BRN",43.9630730758121,15.6269291946111,13427.3369140625,6782.00732421875,485.114654541016,281.381042480469,74.8198915066273
"15853","Tiruvannamalai",70253,"IND",6183.56200879605,99.4083810531379,2607085.75,144439.921875,68324.0078125,5358.65625,7.55833895778379
"15867","Daule",15419,"ECU",472.236850853036,61.4297975124058,159972.578125,79064.9453125,5696.49267578125,3235.47485351562,8.52892322322078
"15900","Bukoto",28469,"UGA",3201.45710137766,233.079867185879,637987.6875,143411.65625,11954.30859375,4158.06591796875,1.03504416535142
"15960","Nalgonda",17560,"IND",14094.1034407459,273.606127089391,3747291.75,248645.09375,88330.09375,9644.1376953125,7.57562490393858
"15971","Name Unknown",13050,"CHN",5305.43748877634,479.388091869558,2551771.5,1413623.5,83841.0078125,54239.82421875,17.3592975679877
"15987","Kushinagar",70271,"IND",2888.11826035936,562.089024143416,3213243,676351.8125,99903.9453125,25827.61328125,7.2082933992788
"15997","Buenaventura",14369,"COL",6497.71819717267,115.179956323709,287827.21875,169492.015625,10042.9658203125,6881.26611328125,12.2269702599565
"16009","Safim",17076,"GNB",169.563717579567,34.0588953711388,58165.48828125,53612.37890625,2238.56567382812,2116.31958007812,0.895716736746749
"16012","Lumbini",22364,"NPL",8783.41695431741,1103.02008088376,3256109,810977.1875,87608.21875,28724.73828125,1.6999742956449
